"qg","N","w1","w2","w3","w4","prob"
"the time i was",7,"the","time","i","was",2.99586485054486e-06
"the time of the",14,"the","time","of","the",5.99172970108972e-06
"the time to make",6,"the","time","to","make",2.56788415760988e-06
"the title of the",5,"the","title","of","the",2.1399034646749e-06
"the top of his",6,"the","top","of","his",2.56788415760988e-06
"the top of my",5,"the","top","of","my",2.1399034646749e-06
"the top of the",44,"the","top","of","the",1.88311504891391e-05
"the total number of",6,"the","total","number","of",2.56788415760988e-06
"the truth is that",8,"the","truth","is","that",3.42384554347984e-06
"the truth of the",5,"the","truth","of","the",2.1399034646749e-06
"the two of them",9,"the","two","of","them",3.85182623641482e-06
"the two of us",9,"the","two","of","us",3.85182623641482e-06
"the united states and",15,"the","united","states","and",6.4197103940247e-06
"the united states has",5,"the","united","states","has",2.1399034646749e-06
"the united states in",5,"the","united","states","in",2.1399034646749e-06
"the united states is",10,"the","united","states","is",4.2798069293498e-06
"the united states of",9,"the","united","states","of",3.85182623641482e-06
"the united states the",9,"the","united","states","the",3.85182623641482e-06
"the united states which",5,"the","united","states","which",2.1399034646749e-06
"the university of california",6,"the","university","of","california",2.56788415760988e-06
"the university of chicago",5,"the","university","of","chicago",2.1399034646749e-06
"the university of maryland",5,"the","university","of","maryland",2.1399034646749e-06
"the university of michigan",6,"the","university","of","michigan",2.56788415760988e-06
"the university of missouri",8,"the","university","of","missouri",3.42384554347984e-06
"the university of oregon",5,"the","university","of","oregon",2.1399034646749e-06
"the value of the",6,"the","value","of","the",2.56788415760988e-06
"the vast majority of",8,"the","vast","majority","of",3.42384554347984e-06
"the view of the",5,"the","view","of","the",2.1399034646749e-06
"the wall street journal",8,"the","wall","street","journal",3.42384554347984e-06
"the way back to",6,"the","way","back","to",2.56788415760988e-06
"the way it is",7,"the","way","it","is",2.99586485054486e-06
"the way to go",6,"the","way","to","go",2.56788415760988e-06
"the way to the",12,"the","way","to","the",5.13576831521976e-06
"the way to work",6,"the","way","to","work",2.56788415760988e-06
"the way you look",6,"the","way","you","look",2.56788415760988e-06
"the west side of",8,"the","west","side","of",3.42384554347984e-06
"the western conference finals",5,"the","western","conference","finals",2.1399034646749e-06
"the winner of the",8,"the","winner","of","the",3.42384554347984e-06
"the winner will be",8,"the","winner","will","be",3.42384554347984e-06
"the winners of the",5,"the","winners","of","the",2.1399034646749e-06
"the word of god",12,"the","word","of","god",5.13576831521976e-06
"the word of wisdom",5,"the","word","of","wisdom",2.1399034646749e-06
"the words of the",6,"the","words","of","the",2.56788415760988e-06
"the world trade center",9,"the","world","trade","center",3.85182623641482e-06
"the wrong side of",8,"the","wrong","side","of",3.42384554347984e-06
"them out of the",6,"them","out","of","the",2.56788415760988e-06
"then i realized that",5,"then","i","realized","that",2.1399034646749e-06
"then there are the",7,"then","there","are","the",2.99586485054486e-06
"then there was the",5,"then","there","was","the",2.1399034646749e-06
"then you will be",6,"then","you","will","be",2.56788415760988e-06
"there are a couple",9,"there","are","a","couple",3.85182623641482e-06
"there are a few",14,"there","are","a","few",5.99172970108972e-06
"there are a lot",24,"there","are","a","lot",1.02715366304395e-05
"there are lots of",8,"there","are","lots","of",3.42384554347984e-06
"there are many more",6,"there","are","many","more",2.56788415760988e-06
"there are people who",5,"there","are","people","who",2.1399034646749e-06
"there are plenty of",15,"there","are","plenty","of",6.4197103940247e-06
"there are so many",34,"there","are","so","many",1.45513435597893e-05
"there are times when",5,"there","are","times","when",2.1399034646749e-06
"there are too many",6,"there","are","too","many",2.56788415760988e-06
"there has been a",11,"there","has","been","a",4.70778762228478e-06
"there have been a",5,"there","have","been","a",2.1399034646749e-06
"there is a chance",8,"there","is","a","chance",3.42384554347984e-06
"there is a difference",5,"there","is","a","difference",2.1399034646749e-06
"there is a good",5,"there","is","a","good",2.1399034646749e-06
"there is a lot",20,"there","is","a","lot",8.55961385869961e-06
"there is a new",5,"there","is","a","new",2.1399034646749e-06
"there is a problem",5,"there","is","a","problem",2.1399034646749e-06
"there is also a",5,"there","is","also","a",2.1399034646749e-06
"there is also the",5,"there","is","also","the",2.1399034646749e-06
"there is always a",5,"there","is","always","a",2.1399034646749e-06
"there is much more",5,"there","is","much","more",2.1399034646749e-06
"there is no doubt",6,"there","is","no","doubt",2.56788415760988e-06
"there is no one",5,"there","is","no","one",2.1399034646749e-06
"there is no reason",5,"there","is","no","reason",2.1399034646749e-06
"there is no such",10,"there","is","no","such",4.2798069293498e-06
"there is no way",12,"there","is","no","way",5.13576831521976e-06
"there is nothing i",5,"there","is","nothing","i",2.1399034646749e-06
"there is only one",8,"there","is","only","one",3.42384554347984e-06
"there is so much",12,"there","is","so","much",5.13576831521976e-06
"there seems to be",8,"there","seems","to","be",3.42384554347984e-06
"there was a lot",7,"there","was","a","lot",2.99586485054486e-06
"there was no way",7,"there","was","no","way",2.99586485054486e-06
"there was only one",5,"there","was","only","one",2.1399034646749e-06
"there were so many",5,"there","were","so","many",2.1399034646749e-06
"there will also be",5,"there","will","also","be",2.1399034646749e-06
"there will always be",5,"there","will","always","be",2.1399034646749e-06
"there will be a",19,"there","will","be","a",8.13163316576463e-06
"there will be more",6,"there","will","be","more",2.56788415760988e-06
"there will be no",10,"there","will","be","no",4.2798069293498e-06
"there will be plenty",5,"there","will","be","plenty",2.1399034646749e-06
"there would be no",7,"there","would","be","no",2.99586485054486e-06
"there you have it",6,"there","you","have","it",2.56788415760988e-06
"theres a lot of",14,"theres","a","lot","of",5.99172970108972e-06
"theres no such thing",5,"theres","no","such","thing",2.1399034646749e-06
"thes department of agriculture",6,"thes","department","of","agriculture",2.56788415760988e-06
"these are the people",5,"these","are","the","people",2.1399034646749e-06
"they also have a",5,"they","also","have","a",2.1399034646749e-06
"they are going to",14,"they","are","going","to",5.99172970108972e-06
"they are just as",5,"they","are","just","as",2.1399034646749e-06
"they have no idea",5,"they","have","no","idea",2.1399034646749e-06
"they have to be",5,"they","have","to","be",2.1399034646749e-06
"they need to be",7,"they","need","to","be",2.99586485054486e-06
"they seem to be",6,"they","seem","to","be",2.56788415760988e-06
"they want to be",8,"they","want","to","be",3.42384554347984e-06
"they were going to",13,"they","were","going","to",5.56374900815474e-06
"thing in the world",10,"thing","in","the","world",4.2798069293498e-06
"things come to those",6,"things","come","to","those",2.56788415760988e-06
"things that make you",5,"things","that","make","you",2.1399034646749e-06
"think i need to",9,"think","i","need","to",3.85182623641482e-06
"think im going to",15,"think","im","going","to",6.4197103940247e-06
"think it would be",6,"think","it","would","be",2.56788415760988e-06
"think its time for",5,"think","its","time","for",2.1399034646749e-06
"think like a man",9,"think","like","a","man",3.85182623641482e-06
"think of it as",8,"think","of","it","as",3.42384554347984e-06
"think there is a",5,"think","there","is","a",2.1399034646749e-06
"think this is the",6,"think","this","is","the",2.56788415760988e-06
"this content is provided",8,"this","content","is","provided",3.42384554347984e-06
"this day and age",6,"this","day","and","age",2.56788415760988e-06
"this has been a",8,"this","has","been","a",3.42384554347984e-06
"this is a big",7,"this","is","a","big",2.99586485054486e-06
"this is a good",8,"this","is","a","good",3.42384554347984e-06
"this is a great",12,"this","is","a","great",5.13576831521976e-06
"this is a huge",5,"this","is","a","huge",2.1399034646749e-06
"this is a very",9,"this","is","a","very",3.85182623641482e-06
"this is an important",5,"this","is","an","important",2.1399034646749e-06
"this is going to",25,"this","is","going","to",1.06995173233745e-05
"this is gonna be",5,"this","is","gonna","be",2.1399034646749e-06
"this is how the",5,"this","is","how","the",2.1399034646749e-06
"this is just the",5,"this","is","just","the",2.1399034646749e-06
"this is my first",11,"this","is","my","first",4.70778762228478e-06
"this is not a",16,"this","is","not","a",6.84769108695968e-06
"this is not the",12,"this","is","not","the",5.13576831521976e-06
"this is one of",18,"this","is","one","of",7.70365247282965e-06
"this is probably the",5,"this","is","probably","the",2.1399034646749e-06
"this is the best",9,"this","is","the","best",3.85182623641482e-06
"this is the first",32,"this","is","the","first",1.36953821739194e-05
"this is the kind",5,"this","is","the","kind",2.1399034646749e-06
"this is the most",6,"this","is","the","most",2.56788415760988e-06
"this is the only",6,"this","is","the","only",2.56788415760988e-06
"this is the second",7,"this","is","the","second",2.99586485054486e-06
"this is the way",5,"this","is","the","way",2.1399034646749e-06
"this is what we",6,"this","is","what","we",2.56788415760988e-06
"this is where the",5,"this","is","where","the",2.1399034646749e-06
"this is why i",8,"this","is","why","i",3.42384554347984e-06
"this point in time",5,"this","point","in","time",2.1399034646749e-06
"this side of the",5,"this","side","of","the",2.1399034646749e-06
"this time last year",7,"this","time","last","year",2.99586485054486e-06
"this time of year",12,"this","time","of","year",5.13576831521976e-06
"this was my first",6,"this","was","my","first",2.56788415760988e-06
"this was one of",6,"this","was","one","of",2.56788415760988e-06
"this was the first",7,"this","was","the","first",2.99586485054486e-06
"this website comes from",8,"this","website","comes","from",3.42384554347984e-06
"this week has been",6,"this","week","has","been",2.56788415760988e-06
"this will be a",8,"this","will","be","a",3.42384554347984e-06
"this will be the",10,"this","will","be","the",4.2798069293498e-06
"this would be the",5,"this","would","be","the",2.1399034646749e-06
"this year i have",7,"this","year","i","have",2.99586485054486e-06
"those of us who",14,"those","of","us","who",5.99172970108972e-06
"those of you that",8,"those","of","you","that",3.42384554347984e-06
"those of you who",25,"those","of","you","who",1.06995173233745e-05
"those who want to",6,"those","who","want","to",2.56788415760988e-06
"thought i was going",5,"thought","i","was","going",2.1399034646749e-06
"thought it might be",5,"thought","it","might","be",2.1399034646749e-06
"thought it was a",11,"thought","it","was","a",4.70778762228478e-06
"thought it would be",16,"thought","it","would","be",6.84769108695968e-06
"three and a half",5,"three","and","a","half",2.1399034646749e-06
"three times a week",5,"three","times","a","week",2.1399034646749e-06
"thx for the follow",5,"thx","for","the","follow",2.1399034646749e-06
"thx for the rt",5,"thx","for","the","rt",2.1399034646749e-06
"time and money to",5,"time","and","money","to",2.1399034646749e-06
"time for me to",8,"time","for","me","to",3.42384554347984e-06
"time for us to",5,"time","for","us","to",2.1399034646749e-06
"time in my life",7,"time","in","my","life",2.99586485054486e-06
"time of the year",7,"time","of","the","year",2.99586485054486e-06
"time of with nike",7,"time","of","with","nike",2.99586485054486e-06
"time rush big time",5,"time","rush","big","time",2.1399034646749e-06
"time to do it",5,"time","to","do","it",2.1399034646749e-06
"time to get it",5,"time","to","get","it",2.1399034646749e-06
"time to go home",5,"time","to","go","home",2.1399034646749e-06
"time to make a",6,"time","to","make","a",2.56788415760988e-06
"time to take a",5,"time","to","take","a",2.1399034646749e-06
"time to work on",5,"time","to","work","on",2.1399034646749e-06
"times in the last",5,"times","in","the","last",2.1399034646749e-06
"tip of the day",5,"tip","of","the","day",2.1399034646749e-06
"tips on how to",7,"tips","on","how","to",2.99586485054486e-06
"to a lot of",9,"to","a","lot","of",3.85182623641482e-06
"to a whole new",5,"to","a","whole","new",2.1399034646749e-06
"to add to the",6,"to","add","to","the",2.56788415760988e-06
"to all of my",5,"to","all","of","my",2.1399034646749e-06
"to all of our",12,"to","all","of","our",5.13576831521976e-06
"to all of the",7,"to","all","of","the",2.99586485054486e-06
"to all of you",10,"to","all","of","you",4.2798069293498e-06
"to all the moms",5,"to","all","the","moms",2.1399034646749e-06
"to all the new",6,"to","all","the","new",2.56788415760988e-06
"to amazon com amazon",8,"to","amazon","com","amazon",3.42384554347984e-06
"to be a big",7,"to","be","a","big",2.99586485054486e-06
"to be a bit",5,"to","be","a","bit",2.1399034646749e-06
"to be a good",20,"to","be","a","good",8.55961385869961e-06
"to be a great",12,"to","be","a","great",5.13576831521976e-06
"to be a long",14,"to","be","a","long",5.99172970108972e-06
"to be a lot",6,"to","be","a","lot",2.56788415760988e-06
"to be a part",7,"to","be","a","part",2.99586485054486e-06
"to be a very",8,"to","be","a","very",3.42384554347984e-06
"to be able to",91,"to","be","able","to",3.89462430570832e-05
"to be at the",6,"to","be","at","the",2.56788415760988e-06
"to be back in",5,"to","be","back","in",2.1399034646749e-06
"to be completed in",5,"to","be","completed","in",2.1399034646749e-06
"to be honest i",8,"to","be","honest","i",3.42384554347984e-06
"to be in a",15,"to","be","in","a",6.4197103940247e-06
"to be in the",24,"to","be","in","the",1.02715366304395e-05
"to be on the",19,"to","be","on","the",8.13163316576463e-06
"to be one of",21,"to","be","one","of",8.98759455163459e-06
"to be out of",7,"to","be","out","of",2.99586485054486e-06
"to be part of",18,"to","be","part","of",7.70365247282965e-06
"to be that way",5,"to","be","that","way",2.1399034646749e-06
"to be the best",11,"to","be","the","best",4.70778762228478e-06
"to be the case",5,"to","be","the","case",2.1399034646749e-06
"to be the first",5,"to","be","the","first",2.1399034646749e-06
"to be the most",7,"to","be","the","most",2.99586485054486e-06
"to be the one",6,"to","be","the","one",2.56788415760988e-06
"to be the only",5,"to","be","the","only",2.1399034646749e-06
"to be there for",6,"to","be","there","for",2.56788415760988e-06
"to break up with",5,"to","break","up","with",2.1399034646749e-06
"to build a new",5,"to","build","a","new",2.1399034646749e-06
"to call it a",5,"to","call","it","a",2.1399034646749e-06
"to catch up on",11,"to","catch","up","on",4.70778762228478e-06
"to catch up with",7,"to","catch","up","with",2.99586485054486e-06
"to change or removal",8,"to","change","or","removal",3.42384554347984e-06
"to check it out",11,"to","check","it","out",4.70778762228478e-06
"to check out the",10,"to","check","out","the",4.2798069293498e-06
"to come in the",5,"to","come","in","the",2.1399034646749e-06
"to come to the",5,"to","come","to","the",2.1399034646749e-06
"to come up with",21,"to","come","up","with",8.98759455163459e-06
"to compete in the",9,"to","compete","in","the",3.85182623641482e-06
"to comply with the",5,"to","comply","with","the",2.1399034646749e-06
"to continue to be",5,"to","continue","to","be",2.1399034646749e-06
"to create a new",5,"to","create","a","new",2.1399034646749e-06
"to cut back on",5,"to","cut","back","on",2.1399034646749e-06
"to deal with the",13,"to","deal","with","the",5.56374900815474e-06
"to do in the",6,"to","do","in","the",2.56788415760988e-06
"to do it again",6,"to","do","it","again",2.56788415760988e-06
"to do it in",8,"to","do","it","in",3.42384554347984e-06
"to do so in",5,"to","do","so","in",2.1399034646749e-06
"to do that and",5,"to","do","that","and",2.1399034646749e-06
"to do that i",5,"to","do","that","i",2.1399034646749e-06
"to do the right",7,"to","do","the","right",2.99586485054486e-06
"to do the same",8,"to","do","the","same",3.42384554347984e-06
"to do what they",5,"to","do","what","they",2.1399034646749e-06
"to do what you",6,"to","do","what","you",2.56788415760988e-06
"to do with a",5,"to","do","with","a",2.1399034646749e-06
"to do with it",11,"to","do","with","it",4.70778762228478e-06
"to do with me",6,"to","do","with","me",2.56788415760988e-06
"to do with my",5,"to","do","with","my",2.1399034646749e-06
"to do with that",5,"to","do","with","that",2.1399034646749e-06
"to do with the",25,"to","do","with","the",1.06995173233745e-05
"to earn advertising fees",8,"to","earn","advertising","fees",3.42384554347984e-06
"to ensure that the",6,"to","ensure","that","the",2.56788415760988e-06
"to everyone who came",6,"to","everyone","who","came",2.56788415760988e-06
"to figure out how",7,"to","figure","out","how",2.99586485054486e-06
"to figure out if",6,"to","figure","out","if",2.56788415760988e-06
"to figure out what",12,"to","figure","out","what",5.13576831521976e-06
"to find a new",5,"to","find","a","new",2.1399034646749e-06
"to find a place",5,"to","find","a","place",2.1399034646749e-06
"to find a way",9,"to","find","a","way",3.85182623641482e-06
"to find out how",5,"to","find","out","how",2.1399034646749e-06
"to find out more",8,"to","find","out","more",3.42384554347984e-06
"to find out that",5,"to","find","out","that",2.1399034646749e-06
"to find out the",5,"to","find","out","the",2.1399034646749e-06
"to find out what",8,"to","find","out","what",3.42384554347984e-06
"to find out who",5,"to","find","out","who",2.1399034646749e-06
"to find ways to",5,"to","find","ways","to",2.1399034646749e-06
"to five years in",5,"to","five","years","in",2.1399034646749e-06
"to focus on the",7,"to","focus","on","the",2.99586485054486e-06
"to follow me on",5,"to","follow","me","on",2.1399034646749e-06
"to for a great",5,"to","for","a","great",2.1399034646749e-06
"to get a new",6,"to","get","a","new",2.56788415760988e-06
"to get back in",5,"to","get","back","in",2.1399034646749e-06
"to get back into",9,"to","get","back","into",3.85182623641482e-06
"to get back on",7,"to","get","back","on",2.99586485054486e-06
"to get back to",17,"to","get","back","to",7.27567177989467e-06
"to get him to",7,"to","get","him","to",2.99586485054486e-06
"to get in the",12,"to","get","in","the",5.13576831521976e-06
"to get in touch",5,"to","get","in","touch",2.1399034646749e-06
"to get into the",9,"to","get","into","the",3.85182623641482e-06
"to get it in",5,"to","get","it","in",2.1399034646749e-06
"to get it out",6,"to","get","it","out",2.56788415760988e-06
"to get off the",6,"to","get","off","the",2.56788415760988e-06
"to get on the",8,"to","get","on","the",3.42384554347984e-06
"to get out of",30,"to","get","out","of",1.28394207880494e-05
"to get out there",6,"to","get","out","there",2.56788415760988e-06
"to get ready for",6,"to","get","ready","for",2.56788415760988e-06
"to get rid of",22,"to","get","rid","of",9.41557524456957e-06
"to get them to",6,"to","get","them","to",2.56788415760988e-06
"to get to know",7,"to","get","to","know",2.99586485054486e-06
"to get to the",20,"to","get","to","the",8.55961385869961e-06
"to get to work",7,"to","get","to","work",2.99586485054486e-06
"to get used to",7,"to","get","used","to",2.99586485054486e-06
"to give it a",12,"to","give","it","a",5.13576831521976e-06
"to give it to",6,"to","give","it","to",2.56788415760988e-06
"to give me a",6,"to","give","me","a",2.56788415760988e-06
"to give them a",5,"to","give","them","a",2.1399034646749e-06
"to give us a",5,"to","give","us","a",2.1399034646749e-06
"to give you a",8,"to","give","you","a",3.42384554347984e-06
"to go along with",6,"to","go","along","with",2.56788415760988e-06
"to go back to",27,"to","go","back","to",1.15554787092445e-05
"to go for a",7,"to","go","for","a",2.99586485054486e-06
"to go home and",5,"to","go","home","and",2.1399034646749e-06
"to go into the",6,"to","go","into","the",2.56788415760988e-06
"to go on a",14,"to","go","on","a",5.99172970108972e-06
"to go out and",8,"to","go","out","and",3.42384554347984e-06
"to go through the",7,"to","go","through","the",2.99586485054486e-06
"to go to a",17,"to","go","to","a",7.27567177989467e-06
"to go to bed",8,"to","go","to","bed",3.42384554347984e-06
"to go to my",5,"to","go","to","my",2.1399034646749e-06
"to go to school",11,"to","go","to","school",4.70778762228478e-06
"to go to sleep",17,"to","go","to","sleep",7.27567177989467e-06
"to go to the",43,"to","go","to","the",1.84031697962042e-05
"to go to work",7,"to","go","to","work",2.99586485054486e-06
"to go with the",7,"to","go","with","the",2.99586485054486e-06
"to hang out with",10,"to","hang","out","with",4.2798069293498e-06
"to have a great",7,"to","have","a","great",2.99586485054486e-06
"to have a little",6,"to","have","a","little",2.56788415760988e-06
"to have a real",5,"to","have","a","real",2.1399034646749e-06
"to have been a",8,"to","have","been","a",3.42384554347984e-06
"to have sex with",6,"to","have","sex","with",2.56788415760988e-06
"to have the opportunity",5,"to","have","the","opportunity",2.1399034646749e-06
"to have you on",7,"to","have","you","on",2.99586485054486e-06
"to hear about it",5,"to","hear","about","it",2.1399034646749e-06
"to hear about your",6,"to","hear","about","your",2.56788415760988e-06
"to hear from you",18,"to","hear","from","you",7.70365247282965e-06
"to hear your thoughts",5,"to","hear","your","thoughts",2.1399034646749e-06
"to help with the",9,"to","help","with","the",3.85182623641482e-06
"to hold on to",7,"to","hold","on","to",2.99586485054486e-06
"to in order to",5,"to","in","order","to",2.1399034646749e-06
"to keep up with",12,"to","keep","up","with",5.13576831521976e-06
"to know how to",12,"to","know","how","to",5.13576831521976e-06
"to know more about",5,"to","know","more","about",2.1399034646749e-06
"to learn how to",12,"to","learn","how","to",5.13576831521976e-06
"to learn more about",5,"to","learn","more","about",2.1399034646749e-06
"to let go of",6,"to","let","go","of",2.56788415760988e-06
"to let me know",7,"to","let","me","know",2.99586485054486e-06
"to let us know",5,"to","let","us","know",2.1399034646749e-06
"to let you know",11,"to","let","you","know",4.70778762228478e-06
"to listen to the",9,"to","listen","to","the",3.85182623641482e-06
"to live in the",5,"to","live","in","the",2.1399034646749e-06
"to live up to",9,"to","live","up","to",3.85182623641482e-06
"to live with the",5,"to","live","with","the",2.1399034646749e-06
"to look at it",7,"to","look","at","it",2.99586485054486e-06
"to look at the",9,"to","look","at","the",3.85182623641482e-06
"to look forward to",12,"to","look","forward","to",5.13576831521976e-06
"to look out for",6,"to","look","out","for",2.56788415760988e-06
"to make a decision",9,"to","make","a","decision",3.85182623641482e-06
"to make a difference",5,"to","make","a","difference",2.1399034646749e-06
"to make it a",6,"to","make","it","a",2.56788415760988e-06
"to make it easier",6,"to","make","it","easier",2.56788415760988e-06
"to make it happen",6,"to","make","it","happen",2.56788415760988e-06
"to make it to",5,"to","make","it","to",2.1399034646749e-06
"to make it work",6,"to","make","it","work",2.56788415760988e-06
"to make me feel",5,"to","make","me","feel",2.1399034646749e-06
"to make room for",6,"to","make","room","for",2.56788415760988e-06
"to make sure he",5,"to","make","sure","he",2.1399034646749e-06
"to make sure i",5,"to","make","sure","i",2.1399034646749e-06
"to make sure that",16,"to","make","sure","that",6.84769108695968e-06
"to make sure the",16,"to","make","sure","the",6.84769108695968e-06
"to make sure they",7,"to","make","sure","they",2.99586485054486e-06
"to make sure you",6,"to","make","sure","you",2.56788415760988e-06
"to make the most",8,"to","make","the","most",3.42384554347984e-06
"to make up for",12,"to","make","up","for",5.13576831521976e-06
"to make way for",10,"to","make","way","for",4.2798069293498e-06
"to me all the",5,"to","me","all","the",2.1399034646749e-06
"to me and i",9,"to","me","and","i",3.85182623641482e-06
"to me i have",5,"to","me","i","have",2.1399034646749e-06
"to me when i",5,"to","me","when","i",2.1399034646749e-06
"to meet you too",7,"to","meet","you","too",2.99586485054486e-06
"to more than million",8,"to","more","than","million",3.42384554347984e-06
"to name a few",12,"to","name","a","few",5.13576831521976e-06
"to one of my",5,"to","one","of","my",2.1399034646749e-06
"to one of the",16,"to","one","of","the",6.84769108695968e-06
"to our new followers",6,"to","our","new","followers",2.56788415760988e-06
"to participate in the",7,"to","participate","in","the",2.99586485054486e-06
"to pay for it",7,"to","pay","for","it",2.99586485054486e-06
"to pay for the",19,"to","pay","for","the",8.13163316576463e-06
"to percent of the",5,"to","percent","of","the",2.1399034646749e-06
"to pick it up",7,"to","pick","it","up",2.99586485054486e-06
"to pick up a",5,"to","pick","up","a",2.1399034646749e-06
"to pick up my",7,"to","pick","up","my",2.99586485054486e-06
"to pick up the",9,"to","pick","up","the",3.85182623641482e-06
"to play for the",5,"to","play","for","the",2.1399034646749e-06
"to play in the",10,"to","play","in","the",4.2798069293498e-06
"to point out that",7,"to","point","out","that",2.99586485054486e-06
"to provide a means",8,"to","provide","a","means",3.42384554347984e-06
"to put together a",13,"to","put","together","a",5.56374900815474e-06
"to reach out to",7,"to","reach","out","to",2.99586485054486e-06
"to return to the",11,"to","return","to","the",4.70778762228478e-06
"to same sex couples",6,"to","same","sex","couples",2.56788415760988e-06
"to say about it",7,"to","say","about","it",2.99586485054486e-06
"to say it is",5,"to","say","it","is",2.1399034646749e-06
"to say thank you",7,"to","say","thank","you",2.99586485054486e-06
"to say that i",7,"to","say","that","i",2.99586485054486e-06
"to say that this",5,"to","say","that","this",2.1399034646749e-06
"to say the least",16,"to","say","the","least",6.84769108695968e-06
"to see a movie",6,"to","see","a","movie",2.56788415760988e-06
"to see all of",5,"to","see","all","of",2.1399034646749e-06
"to see at the",7,"to","see","at","the",2.99586485054486e-06
"to see each other",6,"to","see","each","other",2.56788415760988e-06
"to see how much",5,"to","see","how","much",2.1399034646749e-06
"to see how the",7,"to","see","how","the",2.99586485054486e-06
"to see if i",11,"to","see","if","i",4.70778762228478e-06
"to see if the",6,"to","see","if","the",2.56788415760988e-06
"to see if they",9,"to","see","if","they",3.85182623641482e-06
"to see if we",5,"to","see","if","we",2.1399034646749e-06
"to see in the",5,"to","see","in","the",2.1399034646749e-06
"to see some of",6,"to","see","some","of",2.56788415760988e-06
"to see the new",7,"to","see","the","new",2.99586485054486e-06
"to see what happens",5,"to","see","what","happens",2.1399034646749e-06
"to see what you",10,"to","see","what","you",4.2798069293498e-06
"to see you again",6,"to","see","you","again",2.56788415760988e-06
"to see you and",6,"to","see","you","and",2.56788415760988e-06
"to see you at",8,"to","see","you","at",3.42384554347984e-06
"to see you in",6,"to","see","you","in",2.56788415760988e-06
"to see you soon",5,"to","see","you","soon",2.1399034646749e-06
"to see you there",11,"to","see","you","there",4.70778762228478e-06
"to see you too",5,"to","see","you","too",2.1399034646749e-06
"to seeing you there",5,"to","seeing","you","there",2.1399034646749e-06
"to set up a",6,"to","set","up","a",2.56788415760988e-06
"to share it with",5,"to","share","it","with",2.1399034646749e-06
"to share them with",5,"to","share","them","with",2.1399034646749e-06
"to share with you",19,"to","share","with","you",8.13163316576463e-06
"to sign up for",6,"to","sign","up","for",2.56788415760988e-06
"to sit at the",5,"to","sit","at","the",2.1399034646749e-06
"to sit down and",5,"to","sit","down","and",2.1399034646749e-06
"to sleep in the",5,"to","sleep","in","the",2.1399034646749e-06
"to some of the",7,"to","some","of","the",2.99586485054486e-06
"to spend some time",6,"to","spend","some","time",2.56788415760988e-06
"to spend time with",8,"to","spend","time","with",3.42384554347984e-06
"to spread the word",7,"to","spread","the","word",2.99586485054486e-06
"to start off the",7,"to","start","off","the",2.99586485054486e-06
"to start the day",8,"to","start","the","day",3.42384554347984e-06
"to stay out of",8,"to","stay","out","of",3.42384554347984e-06
"to take a break",5,"to","take","a","break",2.1399034646749e-06
"to take a look",6,"to","take","a","look",2.56788415760988e-06
"to take a nap",5,"to","take","a","nap",2.1399034646749e-06
"to take a picture",9,"to","take","a","picture",3.85182623641482e-06
"to take advantage of",19,"to","take","advantage","of",8.13163316576463e-06
"to take care of",19,"to","take","care","of",8.13163316576463e-06
"to take part in",11,"to","take","part","in",4.70778762228478e-06
"to take pictures of",6,"to","take","pictures","of",2.56788415760988e-06
"to take the time",5,"to","take","the","time",2.1399034646749e-06
"to talk about it",6,"to","talk","about","it",2.56788415760988e-06
"to talk about the",23,"to","talk","about","the",9.84355593750455e-06
"to talk to him",5,"to","talk","to","him",2.1399034646749e-06
"to talk to me",6,"to","talk","to","me",2.56788415760988e-06
"to talk to the",7,"to","talk","to","the",2.99586485054486e-06
"to talk to you",12,"to","talk","to","you",5.13576831521976e-06
"to tell me that",5,"to","tell","me","that",2.1399034646749e-06
"to tell you how",6,"to","tell","you","how",2.56788415760988e-06
"to tell you that",8,"to","tell","you","that",3.42384554347984e-06
"to the back of",6,"to","the","back","of",2.56788415760988e-06
"to the board of",5,"to","the","board","of",2.1399034646749e-06
"to the bottom of",11,"to","the","bottom","of",4.70778762228478e-06
"to the city of",7,"to","the","city","of",2.99586485054486e-06
"to the conclusion that",5,"to","the","conclusion","that",2.1399034646749e-06
"to the end of",15,"to","the","end","of",6.4197103940247e-06
"to the fact that",13,"to","the","fact","that",5.56374900815474e-06
"to the final four",5,"to","the","final","four",2.1399034646749e-06
"to the front of",5,"to","the","front","of",2.1399034646749e-06
"to the grocery store",7,"to","the","grocery","store",2.99586485054486e-06
"to the heart of",5,"to","the","heart","of",2.1399034646749e-06
"to the house and",5,"to","the","house","and",2.1399034646749e-06
"to the law of",5,"to","the","law","of",2.1399034646749e-06
"to the next level",7,"to","the","next","level",2.99586485054486e-06
"to the next one",5,"to","the","next","one",2.1399034646749e-06
"to the people who",6,"to","the","people","who",2.56788415760988e-06
"to the point of",7,"to","the","point","of",2.99586485054486e-06
"to the point that",7,"to","the","point","that",2.99586485054486e-06
"to the point where",13,"to","the","point","where",5.56374900815474e-06
"to the rest of",13,"to","the","rest","of",5.56374900815474e-06
"to the super bowl",7,"to","the","super","bowl",2.99586485054486e-06
"to the supreme court",6,"to","the","supreme","court",2.56788415760988e-06
"to the top of",11,"to","the","top","of",4.70778762228478e-06
"to the tune of",5,"to","the","tune","of",2.1399034646749e-06
"to the united states",7,"to","the","united","states",2.99586485054486e-06
"to the university of",6,"to","the","university","of",2.56788415760988e-06
